Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,"=""""","=""""",5,4.33,PublicAffairs,Kindle Edition,290,2014,2014,,2024/06/28,,,read,,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",4,4.20,Ballantine Books,Hardcover,384,2022,2022,2025/07/01,2025/07/04,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""000853277X""","=""9780008532772""",3,3.73,William Morrow,Paperback,319,2023,2023,2025/07/01,2025/07/12,,,read,,,,1,0
61827543,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593549228""","=""9780593549223""",4,4.03,Berkley,Paperback,339,2023,2023,2025/08/03,2025/08/03,,,read,,,,1,0
215805924,"Vera Wong's Guide to Snooping [On a Dead Man] (Vera Wong, #2)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593546253""","=""9780593546253""",4,4.22,Berkley,Paperback,325,2025,2025,2025/08/09,2025/08/09,,,read,,,,2,0
62848145,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"McFadden, Freida",,"=""1837901317""","=""9781837901319""",4,4.19,Bookouture,Kindle Edition,329,2023,2023,2025/08/13,2025/08/13,,,read,,,,1,0
199235727,"The Housemaid Is Watching (The Housemaid, #3)",Freida McFadden,"McFadden, Freida",,"=""1464223319""","=""9781464223310""",3,3.87,Sourcebooks,Paperback,364,2024,2024,2025/08/15,2025/08/15,,,read,,,,1,0
2810688,Snowtown: The Bodies in Barrels Murders: The Grisly Story of Australia's Worst Serial Killings,Jeremy Pudney,"Pudney, Jeremy",,"=""0732267161""","=""9780732267162""",0,3.85,HarperCollins,Paperback,282,2005,2005,,2025/08/25,to-read,to-read (#192),to-read,,,,0,0
63264519,Dead of Winter,Darcy Coates,"Coates, Darcy",,"=""1728270251""","=""9781728270258""",0,3.80,Poisoned Pen Press,Paperback,352,2023,2023,,2025/08/25,to-read,to-read (#191),to-read,,,,0,0
59720691,"Wake (PI Lane Holland, #1)",Shelley Burr,"Burr, Shelley",,"=""0063235226""","=""9780063235229""",0,3.98,William Morrow,Hardcover,368,2022,2022,,2025/08/25,to-read,to-read (#190),to-read,,,,0,0
